Disease,Description
"Phản ứng thuốc","Phản ứng bất lợi của thuốc (ADR) là tổn thương gây ra bởi việc dùng thuốc. ADR có thể xảy ra sau một liều duy nhất hoặc dùng thuốc kéo dài, hoặc do kết hợp hai hay nhiều loại thuốc."
"Sốt rét","Một bệnh truyền nhiễm gây ra bởi ký sinh trùng protozoa từ họ Plasmodium, có thể lây truyền qua vết muỗi Anopheles đốt, qua kim tiêm nhiễm bẩn hoặc truyền máu. Sốt rét ác tính (falciparum) là loại nguy hiểm nhất."
"Dị ứng","Dị ứng là phản ứng của hệ thống miễn dịch với một chất lạ thường không gây hại cho cơ thể. Các tác nhân này có thể bao gồm một số thực phẩm, phấn hoa hoặc lông thú cưng. Nhiệm vụ của hệ thống miễn dịch là giữ cho bạn khỏe mạnh bằng cách chống lại các tác nhân gây bệnh."
"Suy giáp","Suy giáp, còn gọi là tuyến giáp hoạt động kém, là một rối loạn của hệ thống nội tiết trong đó tuyến giáp không sản xuất đủ hormone tuyến giáp."
"Vảy nến","Vảy nến là một rối loạn da phổ biến tạo thành các mảng dày, đỏ, sần sùi được phủ bởi vảy bạc. Chúng có thể xuất hiện ở bất cứ đâu, nhưng thường thấy nhất trên da đầu, khuỷu tay, đầu gối và lưng dưới. Vảy nến không thể lây từ người này sang người khác. Bệnh đôi khi xảy ra ở các thành viên trong cùng một gia đình."
"Trào ngược dạ dày thực quản","Trào ngược dạ dày thực quản (GERD) là một rối loạn tiêu hóa ảnh hưởng đến cơ thắt thực quản dưới (LES), vòng cơ nằm giữa thực quản và dạ dày. Nhiều người, bao gồm cả phụ nữ mang thai, bị chứng ợ nóng hoặc khó tiêu do axit gây ra bởi GERD."
"Ứ mật mãn tính","Các bệnh ứ mật mãn tính, dù xảy ra ở trẻ sơ sinh, trẻ em hay người lớn, đều đặc trưng bởi sự vận chuyển axit mật bị lỗi từ gan đến ruột, trong hầu hết các trường hợp là do tổn thương nguyên phát ở biểu mô đường mật."
"Viêm gan A","Viêm gan A là một bệnh nhiễm trùng gan rất dễ lây lan do vi-rút viêm gan A gây ra. Vi-rút này là một trong một số loại vi-rút viêm gan gây viêm và ảnh hưởng đến khả năng hoạt động của gan."
"Viêm xương khớp","Viêm xương khớp là dạng viêm khớp phổ biến nhất, ảnh hưởng đến hàng triệu người trên toàn thế giới. Nó xảy ra khi sụn bảo vệ đệm ở đầu xương của bạn bị mòn theo thời gian."
"Chóng mặt tư thế kịch phát lành tính","Chóng mặt tư thế kịch phát lành tính (BPPV) là một trong những nguyên nhân phổ biến nhất gây chóng mặt - cảm giác đột ngột thấy mọi thứ xung quanh xoay tròn hoặc cảm thấy đầu mình đang quay. BPPV gây ra các cơn chóng mặt ngắn, từ nhẹ đến dữ dội."
"Hạ đường huyết","Hạ đường huyết là tình trạng lượng đường trong máu (glucose) của bạn thấp hơn mức bình thường. Glucose là nguồn năng lượng chính của cơ thể. Hạ đường huyết thường liên quan đến điều trị bệnh tiểu đường. Nhưng các loại thuốc khác và nhiều tình trạng - nhiều loại hiếm gặp - có thể gây hạ đường huyết ở những người không mắc bệnh tiểu đường."
"Mụn trứng cá","Mụn trứng cá thông thường là sự hình thành của nhân mụn, sẩn, mụn mủ, nốt sần và/hoặc nang do tắc nghẽn và viêm các đơn vị nang lông-tuyến bã (nang lông và tuyến bã nhờn đi kèm). Mụn phát triển trên mặt và phần thân trên. Nó thường ảnh hưởng đến thanh thiếu niên."
"Tiểu đường","Tiểu đường là một bệnh xảy ra khi glucose (đường) trong máu của bạn quá cao. Glucose trong máu là nguồn năng lượng chính của bạn và đến từ thực phẩm bạn ăn. Insulin, một hormone do tuyến tụy sản xuất, giúp glucose từ thức ăn đi vào tế bào để được sử dụng làm năng lượng."
"Chốc lở","Chốc lở là một bệnh nhiễm trùng da phổ biến và rất dễ lây, chủ yếu ảnh hưởng đến trẻ sơ sinh và trẻ em. Chốc lở thường xuất hiện dưới dạng vết loét đỏ trên mặt, đặc biệt là xung quanh mũi và miệng của trẻ, và trên tay và chân. Các vết loét vỡ ra và hình thành vảy có màu mật ong."
"Tăng huyết áp","Tăng huyết áp (HTN hoặc HT), còn được gọi là cao huyết áp (HBP), là một tình trạng bệnh lý mãn tính trong đó huyết áp trong động mạch luôn ở mức cao. Huyết áp cao thường không gây ra triệu chứng."
"Loét dạ dày tá tràng","Loét dạ dày tá tràng (PUD) là một vết loét ở lớp lót bên trong của dạ dày, phần đầu của ruột non, hoặc đôi khi là thực quản dưới. Một vết loét trong dạ dày được gọi là loét dạ dày, trong khi vết loét ở phần đầu tiên của ruột non là loét tá tràng."
"Trĩ","Trĩ là các cấu trúc mạch máu ở ống hậu môn. Trong... Các tên gọi khác: Haemorrhoids, piles, bệnh trĩ."
"Cảm lạnh thông thường","Cảm lạnh thông thường là một bệnh nhiễm vi-rút ở mũi và họng (đường hô hấp trên). Nó thường vô hại, mặc dù có thể không cảm thấy như vậy. Nhiều loại vi-rút có thể gây cảm lạnh thông thường."
"Thủy đậu","Thủy đậu là một bệnh rất dễ lây lan do vi-rút varicella-zoster (VZV) gây ra. Nó có thể gây phát ban ngứa, dạng bóng nước. Phát ban xuất hiện đầu tiên trên ngực, lưng và mặt, sau đó lan ra toàn bộ cơ thể, gây ra từ 250 đến 500 mụn nước ngứa."
"Thoái hóa đốt sống cổ","Thoái hóa đốt sống cổ là thuật ngữ chung cho sự hao mòn liên quan đến tuổi tác ảnh hưởng đến các đĩa đệm cột sống ở cổ của bạn. Khi các đĩa đệm mất nước và co lại, các dấu hiệu của viêm xương khớp phát triển, bao gồm cả các gai xương mọc dọc theo rìa xương."
"Cường giáp","Cường giáp (tuyến giáp hoạt động quá mức) xảy ra khi tuyến giáp của bạn sản xuất quá nhiều hormone thyroxine. Cường giáp có thể đẩy nhanh quá trình trao đổi chất của cơ thể, gây sụt cân ngoài ý muốn và nhịp tim nhanh hoặc không đều."
"Nhiễm trùng đường tiết niệu","Nhiễm trùng đường tiết niệu: Nhiễm trùng thận, niệu quản, bàng quang hoặc niệu đạo. Viết tắt là UTI. Không phải ai bị UTI cũng có triệu chứng, nhưng các triệu chứng phổ biến bao gồm thường xuyên buồn tiểu và đau hoặc nóng rát khi đi tiểu."
"Suy giãn tĩnh mạch","Một tĩnh mạch bị giãn rộng và xoắn lại, thường xuất hiện như một mạch máu màu xanh, phình ra, có thể nhìn thấy rõ qua da. Suy giãn tĩnh mạch phổ biến nhất ở người lớn tuổi, đặc biệt là phụ nữ, và xảy ra chủ yếu ở chân."
"AIDS","Hội chứng suy giảm miễn dịch mắc phải (AIDS) là một tình trạng mãn tính, có khả năng đe dọa tính mạng do vi-rút gây suy giảm miễn dịch ở người (HIV) gây ra. Bằng cách làm hỏng hệ thống miễn dịch của bạn, HIV cản trở khả năng chống nhiễm trùng và bệnh tật của cơ thể."
"Liệt (xuất huyết não)","Xuất huyết nội sọ (ICH) là khi máu đột ngột tràn vào mô não, gây tổn thương não. Các triệu chứng thường xuất hiện đột ngột trong ICH. Chúng bao gồm đau đầu, yếu người, lú lẫn và liệt, đặc biệt là ở một bên cơ thể."
"Thương hàn","Một bệnh cấp tính đặc trưng bởi sốt do nhiễm vi khuẩn Salmonella typhi. Sốt thương hàn khởi phát âm ỉ với các triệu chứng sốt, đau đầu, táo bón, khó chịu, ớn lạnh và đau cơ. Tiêu chảy không phổ biến, và nôn mửa thường không nghiêm trọng."
"Viêm gan B","Viêm gan B là một bệnh nhiễm trùng gan. Nó có thể gây ra sẹo ở cơ quan này, suy gan và ung thư. Bệnh có thể gây tử vong nếu không được điều trị. Nó lây lan khi mọi người tiếp xúc với máu, vết loét hở hoặc chất dịch cơ thể của người nhiễm vi-rút viêm gan B."
"Nhiễm nấm","Ở người, nhiễm trùng nấm xảy ra khi một loại nấm xâm nhập chiếm một vùng của cơ thể và vượt quá khả năng xử lý của hệ thống miễn dịch. Nấm có thể sống trong không khí, đất, nước và thực vật. Ngoài ra cũng có một số loại nấm sống tự nhiên trong cơ thể người. Giống như nhiều vi sinh vật, có cả nấm có lợi và nấm có hại."
"Viêm gan C","Viêm gan do vi-rút viêm gan C (HCV), thường lây lan qua truyền máu (hiếm), chạy thận nhân tạo và kim tiêm. Tổn thương mà viêm gan C gây ra cho gan có thể dẫn đến xơ hóa và các biến chứng của nó cũng như ung thư."
"Đau nửa đầu","Chứng đau nửa đầu có thể gây đau nhói dữ dội hoặc cảm giác mạch đập, thường ở một bên đầu. Nó thường đi kèm với buồn nôn, nôn mửa và cực kỳ nhạy cảm với ánh sáng và âm thanh. Cơn đau nửa đầu có thể kéo dài từ vài giờ đến vài ngày, và cơn đau có thể nghiêm trọng đến mức cản trở các hoạt động hàng ngày của bạn."
"Hen phế quản","Hen phế quản là một tình trạng bệnh lý gây sưng và thu hẹp đường dẫn khí của phổi. Do tình trạng sưng này, đường khí tạo ra chất nhầy dư thừa khiến việc thở trở nên khó khăn, dẫn đến ho, khó thở và thở khò khè. Bệnh mãn tính và gây trở ngại cho sinh hoạt hàng ngày."
"Viêm gan do rượu","Viêm gan do rượu là tình trạng viêm, bệnh lý của gan do uống nhiều rượu trong thời gian dài. Nó cũng trầm trọng hơn do uống rượu say và tiếp tục sử dụng rượu. Nếu mắc phải tình trạng này, bạn phải ngừng uống rượu."
"Vàng da","Tình trạng da và củng mạc (lòng trắng mắt) bị nhuộm màu vàng do nồng độ sắc tố mật bilirubin trong máu tăng cao bất thường. Màu vàng lan đến các mô và dịch cơ thể khác. Vàng da từng được gọi là ""morbus regius"" (bệnh của vua) với niềm tin rằng chỉ có cái chạm của nhà vua mới chữa được."
"Viêm gan E","Một dạng viêm gan hiếm gặp do nhiễm vi-rút viêm gan E (HEV). Nó lây truyền qua thực phẩm hoặc đồ uống được xử lý bởi người nhiễm bệnh hoặc qua nguồn nước bị nhiễm bẩn ở những khu vực mà chất thải có thể lẫn vào nước. Viêm gan E không gây bệnh gan mãn tính."
"Sốt xuất huyết","Một bệnh truyền nhiễm cấp tính do flavivirus (loài vi-rút Dengue thuộc chi Flavivirus) gây ra, lây truyền qua muỗi Aedes, và đặc trưng bởi đau đầu, đau khớp dữ dội và phát ban. — còn được gọi là sốt xuất huyết, sốt dengue."
"Viêm gan D","Viêm gan D, còn được gọi là vi-rút viêm gan delta, là một bệnh nhiễm trùng gây viêm gan. Tình trạng sưng viêm này có thể làm suy giảm chức năng gan và gây ra các vấn đề về gan lâu dài, bao gồm cả sẹo gan và ung thư. Tình trạng này là do vi-rút viêm gan D (HDV) gây ra."
"Đau tim","Sự chết đi của cơ tim do mất nguồn cung cấp máu. Việc mất nguồn cung cấp máu thường do tắc nghẽn hoàn toàn động mạch vành, một trong những động mạch cung cấp máu cho cơ tim."
"Viêm phổi","Viêm phổi là tình trạng nhiễm trùng ở một hoặc cả hai phổi. Vi khuẩn, vi-rút và nấm gây ra bệnh. Nhiễm trùng gây viêm các túi khí trong phổi của bạn, được gọi là phế nang. Các phế nang chứa đầy chất lỏng hoặc mủ, khiến việc thở trở nên khó khăn."
"Viêm khớp","Viêm khớp là tình trạng sưng và đau ở một hoặc nhiều khớp của bạn. Các triệu chứng chính của viêm khớp là đau khớp và cứng khớp, thường nặng hơn theo tuổi tác. Các loại viêm khớp phổ biến nhất là viêm xương khớp và viêm khớp dạng thấp."
"Viêm dạ dày ruột","Viêm dạ dày ruột là tình trạng viêm đường tiêu hóa, đặc biệt là dạ dày, và ruột non và ruột già. Viêm dạ dày ruột do vi-rút và vi khuẩn là các bệnh nhiễm trùng đường ruột với các triệu chứng tiêu chảy, chuột rút ở bụng, buồn nôn và nôn mửa."
"Bệnh lao","Bệnh lao (TB) là một bệnh truyền nhiễm thường do vi khuẩn Mycobacterium tuberculosis (MTB) gây ra. Bệnh lao thường ảnh hưởng đến phổi, nhưng cũng có thể ảnh hưởng đến các bộ phận khác của cơ thể. Hầu hết các trường hợp nhiễm bệnh không có triệu chứng, trong trường hợp đó được gọi là bệnh lao tiềm ẩn."