Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Phản ứng thuốc,ngừng kích ứng,tham vấn bệnh viện gần nhất,ngừng uống thuốc,theo dõi
Sốt rét,Tham vấn bệnh viện gần nhất,tránh thức ăn dầu mỡ,tránh thức ăn chay,giữ muỗi tránh xa
Dị ứng,bôi calamine,che khu vực bằng băng,gạc,chườm đá để giảm ngứa
Suy giáp,giảm căng thẳng,tập thể dục,ăn uống lành mạnh,ngủ đủ giấc
Vảy nến,rửa tay bằng nước xà phòng ấm,cầm máu bằng áp lực,tham vấn bác sĩ,tắm nước muối
Trào ngược dạ dày thực quản,tránh thức ăn béo cay,tránh nằm xuống sau khi ăn,duy trì cân nặng hợp lý,tập thể dục
Ứ mật mãn tính,tắm nước mát,thuốc chống ngứa,tham vấn bác sĩ,ăn uống lành mạnh
Viêm gan A,Tham vấn bệnh viện gần nhất,rửa tay kỹ lưỡng,tránh thức ăn béo cay,dùng thuốc
Viêm xương khớp,acetaminophen,tham vấn bệnh viện gần nhất,theo dõi,tắm nước muối
Chóng mặt tư thế kịch phát lành tính,nằm xuống,tránh thay đổi tư thế đột ngột,tránh cử động đầu đột ngột,thư giãn
Hạ đường huyết,nằm nghiêng một bên,kiểm tra mạch,uống đồ uống có đường,tham vấn bác sĩ
Mụn trứng cá,tắm hai lần một ngày,tránh thức ăn béo cay,uống nhiều nước,tránh dùng quá nhiều sản phẩm
Tiểu đường,có chế độ ăn cân bằng,tập thể dục,tham vấn bác sĩ,theo dõi
Chốc lở,ngâm khu vực bị ảnh hưởng trong nước ấm,dùng kháng sinh,loại bỏ vảy bằng vải ướt ép,tham vấn bác sĩ
Tăng huyết áp,thiền định,tắm nước muối,giảm căng thẳng,ngủ đủ giấc
Loét dạ dày tá tràng,tránh thức ăn béo cay,tiêu thụ thực phẩm probiotic,loại bỏ sữa,hạn chế rượu
Trĩ,tránh thức ăn béo cay,dùng cây phỉ,tắm nước ấm với muối Epsom,uống nước nha đam
Cảm lạnh thông thường,uống đồ uống giàu vitamin C,xông hơi,tránh thức ăn lạnh,kiểm soát cơn sốt
Thủy đậu,dùng lá neem khi tắm,ăn lá neem,tiêm vắc-xin,tránh những nơi công cộng
Thoái hóa đốt sống cổ,dùng miếng sưởi hoặc túi chườm lạnh,tập thể dục,dùng thuốc giảm đau không kê đơn,tham vấn bác sĩ
Cường giáp,ăn uống lành mạnh,massage,dùng tía tô đất,dùng liệu pháp i-ốt phóng xạ
Nhiễm trùng đường tiết niệu,uống nhiều nước,tăng lượng vitamin C,uống nước ép nam việt quất,dùng men vi sinh
Suy giãn tĩnh mạch,nằm thẳng và nâng chân cao,dùng thuốc mỡ,dùng băng ép tĩnh mạch,không đứng yên một chỗ lâu
AIDS,tránh vết cắt hở,mặc đồ bảo hộ nếu có thể,tham vấn bác sĩ,theo dõi
Liệt (xuất huyết não),massage,ăn uống lành mạnh,tập thể dục,tham vấn bác sĩ
Thương hàn,ăn rau củ giàu calo,liệu pháp kháng sinh,tham vấn bác sĩ,dùng thuốc
Viêm gan B,tham vấn bệnh viện gần nhất,tiêm vắc-xin,ăn uống lành mạnh,dùng thuốc
Nhiễm nấm,tắm hai lần một ngày,dùng detol hoặc neem trong nước tắm,giữ khu vực nhiễm trùng khô ráo,dùng quần áo sạch
Viêm gan C,Tham vấn bệnh viện gần nhất,tiêm vắc-xin,ăn uống lành mạnh,dùng thuốc
Đau nửa đầu,thiền định,giảm căng thẳng,dùng kính phân cực dưới nắng,tham vấn bác sĩ
Hen phế quản,chuyển sang quần áo rộng,hít thở sâu,tránh xa tác nhân kích thích,tìm kiếm sự giúp đỡ
Viêm gan do rượu,ngừng tiêu thụ rượu,tham vấn bác sĩ,dùng thuốc,theo dõi
Vàng da,uống nhiều nước,dùng cây kế sữa,ăn trái cây và thực phẩm nhiều chất xơ,dùng thuốc
Viêm gan E,ngừng tiêu thụ rượu,nghỉ ngơi,tham vấn bác sĩ,dùng thuốc
Sốt xuất huyết,uống nước ép lá đu đủ,tránh thức ăn béo cay,giữ muỗi tránh xa,giữ đủ nước
Viêm gan D,tham vấn bác sĩ,dùng thuốc,ăn uống lành mạnh,theo dõi
Đau tim,gọi xe cấp cứu,nhai hoặc nuốt aspirin,giữ bình tĩnh,
Viêm phổi,tham vấn bác sĩ,dùng thuốc,nghỉ ngơi,theo dõi
Viêm khớp,tập thể dục,dùng liệu pháp nóng và lạnh,thử châm cứu,massage
Viêm dạ dày ruột,ngừng ăn thực phẩm rắn một lúc,thử uống từng ngụm nước nhỏ,nghỉ ngơi,ăn trở lại từ từ
Bệnh lao,che miệng,tham vấn bác sĩ,dùng thuốc,nghỉ ngơi